,Date,StockPrice,Log Normal StockPrice,LN Price Change,TTMNetEPS,EPS Category,PE Ratio,PE Category,TTMSalesperShare,PricetoSalesRatio,BookValueperShare,PricetoBook Ratio,TTMFCFperShare,QuarterlyRevenue,Quarterly Revenue % Change,GrossProfit,OperatingIncome,EBITDA,NetIncome,Net Income % Change,EPS,CurrentAssets,CurrentLiabilities,CurrentAssetsInventory,QuickRatio,QuickRatioCategory,DebtToEquity Ratio,DebtToEquityCategory,TTMNetIncome,LTInvestmentsDebt,ROI,TotalAssets,TotalLiabilities,Current Ratio,Current Ratio Category,CashOnHand,LongTermDebt,Shareholder Equity
1,3/31/2007,20.04,0.029369199458804927,Price=Positive,2.07,EPS=Grade C,9.68,PE=Value,30.56,0.66,16.8,1.19,5.66,22584,-0.1,13672,16.11,7329,1495,44.86,0.51,17.89,27.91,16.11,0.58,QR=High Risk,0.58,DE=Low Risk,13.99,76.86,0.1820192557897476,184284,135502,0.64,CR=Acceptable,3450,28073,48782
2,6/30/2007,21.98,0.09240267275881126,Price=Very Positive,2.1,EPS=Grade C,10.47,PE=Value,31.14,0.71,17.17,1.28,5.41,23273,3.05,14042,15.24,7722,1683,12.58,0.58,17.03,24.45,15.24,0.62,QR=High Risk,0.59,DE=Low Risk,14.93,79.21,0.18848630223456636,184760,134929,0.7,CR=Acceptable,2356,29374,49831
3,9/30/2007,23.88,0.08290833954892604,Price=Very Positive,1.88,EPS=Grade D,12.7,PE=Balanced,31.66,0.75,17.19,1.39,4.96,23772,2.14,14164,15.25,7815,1271,-24.48,0.44,17.04,24.16,15.25,0.63,QR=High Risk,0.59,DE=Low Risk,15.6,79.07,0.1972935373719489,185619,135930,0.71,CR=Acceptable,1909,29383,49689
4,12/31/2007,23.78,-0.004196397261765453,Price=Negative,1.9,EPS=Grade D,12.52,PE=Balanced,32.18,0.74,17.58,1.35,5.78,23840,0.29,14044,16.97,7089,1072,-15.66,0.37,18.7,24.74,16.97,0.69,QR=Moderate Risk,0.56,DE=Low Risk,15.58,78.78,0.19776593043919777,186959,136378,0.76,CR=Acceptable,3397,28203,50581
5,3/31/2008,20.04,-0.17111461504597178,Price=Extremely Negative,1.96,EPS=Grade D,10.22,PE=Value,32.74,0.61,17.64,1.14,6.07,23833,-0.03,14316,20.78,7915,3049,184.42,0.57,22.45,24.74,20.78,0.84,QR=Moderate Risk,0.64,DE=Moderate Risk,16.12,82.41,0.19560732920762045,191293,141013,0.91,CR=Good,7442,32134,50280
6,6/30/2008,19.78,-0.013058950022097891,Price=Negative,2.04,EPS=Grade C,9.7,PE=Value,33.19,0.6,17.87,1.11,6.71,24124,1.22,14658,15.78,8130,3404,11.64,0.66,18.0,29.9,15.78,0.53,QR=High Risk,0.66,DE=Moderate Risk,16.51,84.67,0.1949923231368844,200646,149759,0.6,CR=Low,2074,33778,50887
7,9/30/2008,18.15,-0.08600076548370639,Price=Very Negative,2.19,EPS=Grade C,8.29,PE=High Value,33.7,0.54,17.94,1.01,7.69,24752,2.6,14704,16.65,7825,1669,-50.97,0.59,19.13,28.28,16.65,0.59,QR=High Risk,0.74,DE=Moderate Risk,16.48,88.43,0.1863620943118851,204861,153907,0.68,CR=Acceptable,1674,37478,50954
8,12/31/2008,19.49,0.07123095280860965,Price=Very Positive,2.25,EPS=Grade C,8.66,PE=High Value,34.13,0.57,27.78,0.7,8.1,24645,-0.43,15061,23.98,-6648,-10315,-718.03,-2.59,26.08,25.91,23.98,0.93,QR=Low Risk,0.6,DE=Low Risk,2.61,125.86,0.020737327188940093,202352,123447,1.01,CR=Very Good,10291,46959,78905
9,3/31/2009,17.62,-0.10086689301143587,Price=Very Negative,2.26,EPS=Grade C,7.8,PE=High Value,35.17,0.5,28.36,0.62,8.72,26591,7.9,16283,19.68,8722,1645,-115.95,0.58,21.88,35.07,19.68,0.56,QR=High Risk,0.69,DE=Moderate Risk,2.97,136.23,0.021801365338031273,226851,146297,0.62,CR=Acceptable,4351,55674,80554
10,6/30/2009,18.19,0.03183737202199756,Price=Positive,2.12,EPS=Grade C,8.58,PE=High Value,36.17,0.5,29.16,0.62,9.36,26861,1.02,16380,18.69,8509,1483,-9.85,0.52,21.46,26.37,18.69,0.71,QR=Moderate Risk,0.72,DE=Moderate Risk,2.85,142.29,0.020029517183217375,224999,142178,0.81,CR=Good,1180,59469,82821
